learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
c7a2e9a7-c58f-4827-aeea-37d32d5a96ef,2017-05-06 20:15:43 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
3373acc8-285c-43c5-9aae-b98696514fa0,2017-05-05 17:52:00 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NG
d3f19954-1397-4d00-b8d7-596d23417b0c,2017-05-05 15:03:51 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EG
a31a2c39-5f73-4898-be1b-4cfdc618d3ce,2017-05-05 08:07:55 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
540583ab-0d56-4ab6-a899-060138ea1c98,2017-04-22 15:17:12 UTC,2017-05-05 23:26:33 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
7eccaa88-ca90-49eb-8362-adddff5cd452,2017-05-05 12:01:53 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
4e501905-b7e5-4231-87f2-7a1432280c35,2017-05-05 13:47:24 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL
b6d0d101-eb0a-4919-a957-4847eeaf943f,2017-05-05 07:13:52 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
dba97dec-1f68-4b59-81c1-3cbc01558be8,2017-05-05 17:02:05 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
4cd41888-d1f0-4ab6-8892-2e3de8c183dd,2017-05-05 17:08:54 UTC,,learner,,,female,MA,18-25,secondary,not_working,engineering_and_manufacturing,MA
2c9cefab-9fb1-4cf9-bf75-0ae48a1e2ef1,2017-05-05 19:05:45 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
3e1630eb-1614-4a90-9747-4ec8c8b82e3b,2017-05-05 16:15:11 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
2edefc7b-8152-4bd9-99ea-f205453603bc,2017-05-05 15:33:42 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MN
ac97e8d9-9805-4795-b450-1fd598bbd63c,2017-05-05 16:19:22 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MU
c81e902d-f1cb-4e4f-bdb0-1fa703f71e7a,2017-05-05 10:04:19 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
ab76ead6-2f97-4f1e-9fba-25326acc831d,2017-05-05 06:34:53 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FI
96068429-0431-4401-8a7d-babb4e45e17d,2017-05-05 03:59:13 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
96870808-c5ce-4d5d-8bab-48ebf5574b96,2017-05-04 04:16:49 UTC,2017-05-12 01:27:34 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,--
281592f1-ae2b-40f3-9a41-84eb43d03571,2017-04-22 15:29:06 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MY
36af1ce9-f377-45b7-8e2b-62c0aee125ec,2017-04-12 16:27:55 UTC,2017-05-31 12:24:30 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,BR
d3afdf5b-486d-4784-85e4-e5e02ef86c76,2017-05-05 12:15:07 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
a4ff180e-0db3-4af5-a9ff-0bf3daec612f,2017-05-05 08:16:55 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
e237129d-fa41-4799-950f-4d494eb2db5d,2017-05-05 22:15:39 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ
69b34598-38b4-4aa5-befe-ecc576696168,2017-05-05 15:59:33 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EG
9fdf6998-9d5f-4f32-a806-edcca5b3b6c7,2017-05-05 12:02:51 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
7f40a27b-3e6c-46bd-8ab3-979494f521de,2017-05-05 02:50:44 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
10f0f338-5915-4060-bb0a-acfedb56f6b4,2017-05-04 08:21:12 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IT
f145b9f0-58f3-4d2d-a4db-c6fb678b4f53,2017-05-04 08:11:15 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
b86a38d1-5753-41b8-aed9-a774f69cd2c4,2017-05-04 04:02:39 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
27d4a8bb-6d72-49b4-8ea1-96b819bb0cd5,2017-05-03 20:59:41 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CO
859ea0fb-cba2-4025-9f8e-41d9df5dc307,2017-05-04 20:48:20 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
9d55b0d7-1b53-474d-9125-400df1bc1eef,2017-05-04 08:44:27 UTC,,learner,,,male,CM,18-25,university_degree,full_time_student,engineering_and_manufacturing,FR
e0808e6c-4a19-4e2e-8fd4-8054b5fafaef,2017-05-04 09:30:56 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FR
8c664514-e3ef-4609-8069-9948cfabbf70,2017-05-04 16:14:05 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AE
a766122a-85db-401c-acce-666402da0c33,2017-03-20 17:29:46 UTC,2017-05-04 13:30:36 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
75d5800e-6064-4ccc-9573-9ea21fdd4614,2017-05-04 22:18:43 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MA
bc1aed9c-67ae-4c3e-9216-2196e4a9ab21,2017-04-22 15:37:23 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PH
60a64a4a-4231-4f6d-8c5d-1de6f0699a1e,2017-04-13 02:12:44 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CN
29eab0ad-35f0-4c29-99b6-4915dd34ec91,2017-05-04 12:32:27 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,BD
ad692cd4-6913-408a-8312-a06c28b5aa41,2017-04-28 04:02:51 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SO
72128405-15fb-4ef0-880c-b8d0e275bf2a,2017-04-27 13:23:24 UTC,,learner,2017-04-27 13:38:35 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
26e1f99d-d0bd-4b7f-9412-ad437309d48b,2017-02-27 20:03:34 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,DK
